"data";"PIB";"Consumo das famílias";"FBKF";"Variação de estoques";"Gastos do Governo";"Exportações Líquidas de Bens e Serviços"
1996-01-01;1,08;NA;NA;NA;NA;NA
1996-04-01;1,47;NA;NA;NA;NA;NA
1996-07-01;2,02;NA;NA;NA;NA;NA
1996-10-01;1,71;NA;NA;NA;NA;NA
1997-01-01;0,97;0,49;0,46;NA;0,35;0,27
1997-04-01;3;1,08;0,52;NA;0,39;0,67
1997-07-01;2,67;0,87;0,28;NA;0,22;0,82
1997-10-01;3,49;1,5;0,82;NA;0,08;0,39
1998-01-01;4,33;1,78;1,57;NA;0,34;-0,03
1998-04-01;2,52;1,53;0,74;NA;0,26;-0,28
1998-07-01;2,94;1,95;1,27;NA;0,31;-0,8
1998-10-01;2,09;1,81;1,22;NA;0,5;-1,29
1999-01-01;2,21;1,92;1,03;NA;0,43;-1,15
1999-04-01;2,56;1,83;1,45;NA;0,28;-0,91
1999-07-01;2,86;1,9;1,3;NA;0,28;-0,43
1999-10-01;4,06;1,82;1,42;NA;0,4;0,31
2000-01-01;4,86;2,1;1,56;NA;0,44;0,95
2000-04-01;4,28;2,03;1,07;NA;0,41;0,58
2000-07-01;3,45;1,46;0,83;NA;0,49;0,34
2000-10-01;2,74;0,98;0,79;NA;0,53;0,26
2001-01-01;3,03;2,66;1,11;NA;0,82;0,1
2001-04-01;2,33;2,37;0,92;NA;0,88;0,12
2001-07-01;1,84;2,46;0,42;NA;0,76;0,59
2001-10-01;1,44;2,43;0,35;NA;1,01;0,56
2002-01-01;-0,1;0,21;-0,52;NA;0,3;0,49
2002-04-01;1,03;0,22;-0,47;NA;0,44;0,95
2002-07-01;1,46;0,52;-0,19;NA;0,53;0,76
2002-10-01;1,03;0,56;-0,1;NA;0,33;0,26
2003-01-01;0,83;0,59;-0,04;NA;0,45;-0,52
2003-04-01;0,04;0,77;0,13;NA;0,35;-0,89
2003-07-01;0,4;0,65;0,35;NA;0,37;-0,67
2003-10-01;1,01;0,45;0,45;NA;0,27;-0,5
2004-01-01;2,15;1,08;0,51;NA;0,32;0,7
2004-04-01;2,72;0,9;0,71;NA;0,29;0,99
2004-07-01;2,14;0,65;0,35;NA;0,25;0,29
2004-10-01;1,94;1,02;0,37;NA;0,21;0,24
2005-01-01;0,94;0,73;0,16;NA;0,31;-0,18
2005-04-01;1,92;1,24;0,74;NA;0,36;-0,45
2005-07-01;1,75;1,31;0,66;NA;0,24;0,02
2005-10-01;1,72;0,94;0,71;NA;0,3;-0,08
2006-01-01;3,52;1,3;1,28;NA;0,3;-0,03
2006-04-01;2,67;1;0,98;NA;0,32;0,22
2006-07-01;2,91;0,98;0,94;NA;0,37;0,21
2006-10-01;3,51;1,08;1,43;NA;0,62;0,43
2007-01-01;3,31;1,14;1,49;NA;0,47;0,27
2007-04-01;3,05;1,14;1,2;NA;0,52;0,45
2007-07-01;3;1,27;1,12;NA;0,59;0,07
2007-10-01;2,28;0,98;1,13;NA;0,51;-0,34
2008-01-01;1,74;0,94;0,44;NA;0,5;0,37
2008-04-01;1,54;0,51;0,36;NA;0,6;0,36
2008-07-01;0,55;0,18;-0,16;NA;0,55;0,18
2008-10-01;-2,17;-0,43;-1,35;NA;0,54;-0,25
2009-01-01;-5,63;-0,5;-2,41;NA;0,65;-1,47
2009-04-01;-5,88;-0,39;-2,8;NA;0,53;-0,99
2009-07-01;-4,19;0,01;-2,25;NA;0,71;-0,59
2009-10-01;-1,99;0,34;-1,73;NA;0,59;0,39
2010-01-01;1,26;0,3;-0,98;NA;0,33;0,96
2010-04-01;2,55;0,37;0,21;NA;0,21;0,4
2010-07-01;2,39;0,66;0,2;NA;0,11;0,63
2010-10-01;2,37;0,66;0,33;NA;0,06;0,61
2011-01-01;3,12;0,46;0,86;NA;0,02;0,78
2011-04-01;1,94;0,35;0,3;NA;0,05;0,95
2011-07-01;1,53;0,2;0,24;NA;-0,04;0,85
2011-10-01;0,16;-0,45;0,04;NA;0,01;1,2
2012-01-01;-0,2;-0,23;-0,29;NA;-0,01;1,43
2012-04-01;-1,17;-0,69;-0,65;NA;-0,08;1,56
2012-07-01;-1,16;-0,79;-0,82;NA;-0,09;1,65
2012-10-01;-1,11;-0,68;-0,89;NA;-0,08;1,18
2013-01-01;-1,83;-0,99;-1,17;NA;-0,08;0,67
2013-04-01;-0,25;-0,49;-0,68;NA;0,02;0,54
2013-07-01;0,4;-0,11;-0,17;NA;0,12;-0,06
2013-10-01;0,59;0,07;0,08;NA;0,13;-0,14
2014-01-01;1,68;0,41;0,66;NA;0,22;-0,01
2014-04-01;0,98;0,56;0,2;NA;0,22;-0,22
2014-07-01;1,37;0,71;0,26;NA;0,2;0,24
