"data";"PIB";"Consumo das famílias";"FBKF";"Gastos do Governo";"Exportações";"Importações"
1996-01-01;1,1;2,2;-0,9;1,8;3,3;3,9
1996-04-01;1,5;1,4;2;1,6;2,7;2,6
1996-07-01;2;2,3;3,3;2;6,6;4,3
1996-10-01;1,7;2,2;1,6;1,7;7,4;5
1997-01-01;1;0,9;2,2;1,7;5,4;4,8
1997-04-01;3;1,9;2,4;1,9;12,5;10,8
1997-07-01;2,7;1,5;1,3;1,1;13,9;11,8
1997-10-01;3,5;2,7;3,8;0,4;11,9;11,5
1998-01-01;4,3;3,1;7,7;1,7;12,3;13,3
1998-04-01;2,5;2,8;3,4;1,3;8,2;9,9
1998-07-01;2,9;3,5;6;1,6;5,6;9,1
1998-10-01;2,1;3,2;5,6;2,6;3,8;8,7
1999-01-01;2,2;3,4;4,9;2,2;1,9;6,1
1999-04-01;2,6;3,3;6,6;1,4;4;7,4
1999-07-01;2,9;3,4;6;1,4;6,1;8,1
1999-10-01;4,1;3,2;6,4;2,1;10,2;9,8
2000-01-01;4,9;3,7;7,3;2,2;15,1;12,5
2000-04-01;4,3;3,6;4,7;2,1;13;11,7
2000-07-01;3,4;2,6;3,7;2,6;12,1;11,7
2000-10-01;2,7;1,8;3,5;2,7;12,5;12,4
2001-01-01;3;2,2;2,7;2,1;9,1;8,3
2001-04-01;2,3;1,6;1,7;2,5;5,2;4,3
2001-07-01;1,8;1,5;-0,2;1,8;2,8;0,7
2001-10-01;1,4;1,8;-0,4;3;-1;-3,3
2002-01-01;-0,1;0,4;-2,4;1,6;-1,8;-3,3
2002-04-01;1;0,4;-2;2,3;2,4;-0,3
2002-07-01;1,5;0,9;-0,9;2,7;4;1,9
2002-10-01;1;1;-0,4;1,7;3,9;3,3
2003-01-01;0,8;1,1;-0,2;2,3;1,8;3,6
2003-04-01;0;1,4;0,6;1,8;-1,2;1,5
2003-07-01;0,4;1,2;1,6;1,9;0,6;2,7
2003-10-01;1;0,8;2,1;1,3;2,2;4
2004-01-01;2,2;1,9;2,4;1,6;6,5;4,6
